Country/Region,total_case,ac_recover,ac_active,ac_death,c_recover,c_active,c_death,w_recover,w_active,w_death,Date
Equatorial Guinea,51,4,47,0,0.0784313725490196,0.9215686274509803,0.0,7.827497607721043e-06,3.331306198072379e-05,0.0,"16 Apr,2020"
Eritrea,35,0,35,0,0.0,1.0,0.0,0.0,2.48075993473475e-05,0.0,"16 Apr,2020"
Estonia,1400,117,1248,35,0.08357142857142857,0.8914285714285715,0.025,0.0002289543050258405,0.0008845681138711337,0.00026084947494727114,"16 Apr,2020"
Eswatini,15,8,7,0,0.5333333333333333,0.4666666666666667,0.0,1.5654995215442086e-05,4.9615198694695e-06,0.0,"16 Apr,2020"
Ethiopia,85,15,67,3,0.17647058823529413,0.788235294117647,0.03529411764705882,2.9353116028953913e-05,4.748883303635093e-05,2.2358526424051813e-05,"16 Apr,2020"
Fiji,16,0,16,0,0.0,1.0,0.0,0.0,1.1340616844501715e-05,0.0,"16 Apr,2020"
Finland,3237,300,2865,72,0.09267840593141798,0.8850787766450418,0.022242817423540315,0.0005870623205790783,0.002030679203718588,0.0005366046341772435,"16 Apr,2020"
France,134582,31470,85924,17188,0.2338351339703675,0.6384509072535703,0.12771395877606218,0.06158283742874531,0.06090194760918533,0.1280994507255342,"16 Apr,2020"
Gabon,80,4,75,1,0.05,0.9375,0.0125,7.827497607721043e-06,5.315914145860179e-05,7.452842141350604e-06,"16 Apr,2020"
Gambia,9,2,6,1,0.2222222222222222,0.6666666666666666,0.1111111111111111,3.9137488038605215e-06,4.252731316688143e-06,7.452842141350604e-06,"16 Apr,2020"
Georgia,306,71,232,3,0.23202614379084968,0.7581699346405228,0.00980392156862745,0.00013893808253704853,0.00016443894424527487,2.2358526424051813e-05,"16 Apr,2020"
Germany,134753,72600,58349,3804,0.5387635154690433,0.43300705735679357,0.0282294271741631,0.14206908158013695,0.04135710326623941,0.028350611505697697,"16 Apr,2020"
Ghana,636,17,611,8,0.026729559748427674,0.960691823899371,0.012578616352201259,3.3266864832814435e-05,0.0004330698057494092,5.9622737130804834e-05,"16 Apr,2020"
Greece,2192,269,1821,102,0.12271897810218978,0.8307481751824818,0.046532846715328466,0.0005263992141192402,0.0012907039546148514,0.0007601898984177616,"16 Apr,2020"
Grenada,14,0,14,0,0.0,1.0,0.0,0.0,9.923039738939e-06,0.0,"16 Apr,2020"
Guatemala,180,19,156,5,0.10555555555555556,0.8666666666666667,0.027777777777777776,3.7180613636674954e-05,0.00011057101423389172,3.726421070675302e-05,"16 Apr,2020"
Guinea,404,31,372,1,0.07673267326732673,0.9207920792079208,0.0024752475247524753,6.066310645983809e-05,0.00026366934163466485,7.452842141350604e-06,"16 Apr,2020"
Guinea-Bissau,43,0,43,0,0.0,1.0,0.0,0.0,3.0477907769598358e-05,0.0,"16 Apr,2020"
Guyana,55,8,41,6,0.14545454545454545,0.7454545454545455,0.10909090909090909,1.5654995215442086e-05,2.9060330664035642e-05,4.4717052848103625e-05,"16 Apr,2020"
Haiti,41,0,38,3,0.0,0.926829268292683,0.07317073170731707,0.0,2.693396500569157e-05,2.2358526424051813e-05,"16 Apr,2020"
Holy See,8,2,6,0,0.25,0.75,0.0,3.9137488038605215e-06,4.252731316688143e-06,0.0,"16 Apr,2020"
Honduras,419,9,379,31,0.021479713603818614,0.9045346062052506,0.07398568019093078,1.761186961737235e-05,0.00026863086150413437,0.00023103810638186873,"16 Apr,2020"
Hungary,1579,192,1253,134,0.12159594680177327,0.7935402153261558,0.08486383787207093,0.0003757198851706101,0.0008881120566350406,0.000998680846940981,"16 Apr,2020"
Iceland,1727,1077,642,8,0.6236247828604516,0.3717429067747539,0.004632310364794441,0.002107553730878891,0.0004550422508856313,5.9622737130804834e-05,"16 Apr,2020"
India,12322,1432,10485,405,0.11621490017854244,0.8509170589190067,0.0328680409024509,0.0028022441435641334,0.00743164797591253,0.003018401067246995,"16 Apr,2020"
Indonesia,5136,446,4221,469,0.08683800623052959,0.8218457943925234,0.09131619937694704,0.0008727659832608964,0.0029917964812901086,0.0034953829642934333,"16 Apr,2020"
Iran,76389,49933,21679,4777,0.6536674128473995,0.28379740538559217,0.06253518176700834,0.09771260951158371,0.015365827035747041,0.035602226909231836,"16 Apr,2020"
Iraq,1415,812,524,79,0.5738515901060071,0.37031802120141344,0.0558303886925795,0.001588982014367372,0.00037140520165743115,0.0005887745291666977,"16 Apr,2020"
Ireland,12547,77,12026,444,0.0061369251613931615,0.958476129752132,0.03538694508647485,0.00015067932894863008,0.008523891135748602,0.003309061910759668,"16 Apr,2020"
Israel,12501,2563,9808,130,0.20502359811215104,0.7845772338212943,0.010399168066554675,0.005015469092147258,0.006951798125679551,0.0009688694783755785,"16 Apr,2020"
Italy,165155,38092,105418,21645,0.2306439405407042,0.6382973570282462,0.1310587024310496,0.0745412597183275,0.0747190716571051,0.16131676814953383,"16 Apr,2020"
Jamaica,125,21,99,5,0.168,0.792,0.04,4.109436244053548e-05,7.017006672535435e-05,3.726421070675302e-05,"16 Apr,2020"
Japan,8100,853,7101,146,0.10530864197530865,0.8766666666666667,0.018024691358024692,0.0016692138648465125,0.005033107513300417,0.0010881149526371882,"16 Apr,2020"
Jordan,401,250,144,7,0.6234413965087282,0.35910224438902744,0.017456359102244388,0.0004892186004825652,0.00010206555160051543,5.2169894989454226e-05,"16 Apr,2020"
Kazakhstan,1295,240,1039,16,0.18532818532818532,0.8023166023166023,0.012355212355212355,0.0004696498564632626,0.0007364313063398301,0.00011924547426160967,"16 Apr,2020"
Kenya,225,53,162,10,0.23555555555555555,0.72,0.044444444444444446,0.00010371434330230382,0.00011482374555057986,7.452842141350604e-05,"16 Apr,2020"
"Korea, South",10591,7616,2750,225,0.7191011235955056,0.25965442356717966,0.0212444528373147,0.014903555445100867,0.0019491685201487323,0.0016768894818038858,"16 Apr,2020"
Kosovo,387,66,313,8,0.17054263565891473,0.8087855297157622,0.020671834625323,0.00012915371052739721,0.00022185081702056478,5.9622737130804834e-05,"16 Apr,2020"
